name,recclass,mass (g),fall,year,reclat,reclong
Tentacle Ridge 00001,L6,11.1,Found,2000,-80.25,153.5
Tentacle Ridge 00002,L6,19.8,Found,2000,-80.25,153.5
Derrick Peak 00200,"Iron, IIAB",10000,Found,2000,-80.06667,156.38333
Derrick Peak 00201,"Iron, IIAB",2689.4,Found,2000,-80.06667,156.38333
Meteorite Hills 001000,L5,16.3,Found,2000,-79.68333,159.75
Meteorite Hills 001001,L5,4.8,Found,2000,-79.68333,159.75
Meteorite Hills 001002,H6,17.9,Found,2000,-79.68333,159.75
Meteorite Hills 001003,L6,13.4,Found,2000,-79.68333,159.75
Meteorite Hills 001004,L5,27,Found,2000,-79.68333,159.75
Meteorite Hills 001005,LL5,29.3,Found,2000,-79.68333,159.75
Meteorite Hills 001006,L5,10.6,Found,2000,-79.68333,159.75
Meteorite Hills 001007,L5,18.4,Found,2000,-79.68333,159.75
Meteorite Hills 001008,H6,10.7,Found,2000,-79.68333,159.75
Meteorite Hills 001009,L5,19.1,Found,2000,-79.68333,159.75
Meteorite Hills 001010,LL6,1.1,Found,2000,-79.68333,159.75
Meteorite Hills 001011,LL5,11.6,Found,2000,-79.68333,159.75
Meteorite Hills 001012,CM2,7.1,Found,2000,-79.68333,155.75
Meteorite Hills 001013,H6,10.1,Found,2000,-79.68333,159.75
Meteorite Hills 001014,H5,10.4,Found,2000,-79.68333,159.75
Meteorite Hills 001015,H6,22,Found,2000,-79.68333,159.75
Meteorite Hills 001016,H5,11.5,Found,2000,-79.68333,159.75
Meteorite Hills 001017,H6,18.7,Found,2000,-79.68333,159.75
Meteorite Hills 001018,H6,11.5,Found,2000,-79.68333,159.75
Meteorite Hills 001019,H5,23,Found,2000,-79.68333,159.75
Meteorite Hills 001020,L5,55.9,Found,2000,-79.68333,159.75
Meteorite Hills 001021,LL5,23,Found,2000,-79.68333,159.75
Meteorite Hills 001022,H5,19.3,Found,2000,-79.68333,159.75
Meteorite Hills 001023,LL6,35.4,Found,2000,-79.68333,159.75
Meteorite Hills 001024,LL6,19.7,Found,2000,-79.68333,159.75
Meteorite Hills 001025,LL5,31.7,Found,2000,-79.68333,159.75
Meteorite Hills 001026,L5,51.4,Found,2000,-79.68333,159.75
Meteorite Hills 001027,H5,18.2,Found,2000,-79.68333,159.75
Meteorite Hills 001028,H6,7.3,Found,2000,-79.68333,159.75
Meteorite Hills 001029,H5,34.8,Found,2000,-79.68333,159.75
Meteorite Hills 001030,H6,20.7,Found,2000,-79.68333,159.75
Meteorite Hills 001031,Mesosiderite,6.3,Found,2000,-79.68333,159.75
Meteorite Hills 001032,H6,9.7,Found,2000,-79.68333,159.75
Meteorite Hills 001033,H6,16.7,Found,2000,-79.68333,159.75
Meteorite Hills 001034,LL5,29.9,Found,2000,-79.68333,159.75
Meteorite Hills 001035,H6,22.6,Found,2000,-79.68333,159.75
Meteorite Hills 001036,H6,35.9,Found,2000,-79.68333,159.75
Meteorite Hills 001037,H6,18.1,Found,2000,-79.68333,159.75
Meteorite Hills 001038,"Iron, ungrouped",3.69,Found,2000,-79.68333,155.75
Meteorite Hills 001039,H6,27.7,Found,2000,-79.68333,159.75
Meteorite Hills 001040,L5,43.3,Found,2000,-79.68333,159.75
Meteorite Hills 001041,H6,11.6,Found,2000,-79.68333,159.75
Meteorite Hills 001042,H6,25.1,Found,2000,-79.68333,159.75
Meteorite Hills 001043,H6,58.8,Found,2000,-79.68333,159.75
Meteorite Hills 001044,H6,12.6,Found,2000,-79.68333,159.75
Meteorite Hills 001045,H6,7.2,Found,2000,-79.68333,159.75
Meteorite Hills 001046,LL5,6.6,Found,2000,-79.68333,159.75
Meteorite Hills 001047,H5,22.9,Found,2000,-79.68333,159.75
Meteorite Hills 001048,H6,11,Found,2000,-79.68333,159.75
Meteorite Hills 001049,H4,37.6,Found,2000,-79.68333,159.75
Meteorite Hills 001050,LL6,67.6,Found,2000,-79.68333,159.75
Meteorite Hills 001051,H6,11.2,Found,2000,-79.68333,159.75
Meteorite Hills 001052,L6,26.5,Found,2000,-79.68333,159.75
Meteorite Hills 001053,L5,17.6,Found,2000,-79.68333,159.75
Meteorite Hills 001054,H6,4.8,Found,2000,-79.68333,159.75
Meteorite Hills 001055,L5,6.8,Found,2000,-79.68333,159.75
Meteorite Hills 001056,H5,18.7,Found,2000,-79.68333,159.75
Meteorite Hills 001057,LL6,27.5,Found,2000,-79.68333,159.75
Meteorite Hills 001058,LL6,37.4,Found,2000,-79.68333,159.75
Meteorite Hills 001059,H6,26.4,Found,2000,-79.68333,159.75
Meteorite Hills 001060,Diogenite,9.84,Found,2000,-79.68333,155.75
Meteorite Hills 001061,H6,23.1,Found,2000,-79.68333,159.75
Meteorite Hills 001062,H6,40.7,Found,2000,-79.68333,159.75
Meteorite Hills 001063,L6,12.7,Found,2000,-79.68333,159.75
Meteorite Hills 001064,H6,14.2,Found,2000,-79.68333,159.75
Meteorite Hills 001065,H6,10.1,Found,2000,-79.68333,159.75
Meteorite Hills 001066,H6,19.6,Found,2000,-79.68333,159.75
Meteorite Hills 001067,H5,33.4,Found,2000,-79.68333,159.75
Meteorite Hills 001068,L5,7.2,Found,2000,-79.68333,159.75
Meteorite Hills 001069,H6,10.6,Found,2000,-79.68333,159.75
Meteorite Hills 001070,LL5,6.8,Found,2000,-79.68333,159.75
Meteorite Hills 001071,L5,7.5,Found,2000,-79.68333,159.75
Meteorite Hills 001072,LL6,34.2,Found,2000,-79.68333,159.75
Meteorite Hills 001073,H6,32,Found,2000,-79.68333,159.75
Meteorite Hills 001074,H6,19.7,Found,2000,-79.68333,159.75
Meteorite Hills 001075,H6,7.1,Found,2000,-79.68333,159.75
Meteorite Hills 001076,H6,8.6,Found,2000,-79.68333,159.75
Meteorite Hills 001077,H6,40.6,Found,2000,-79.68333,159.75
Meteorite Hills 001078,L6,22.6,Found,2000,-79.68333,159.75
Meteorite Hills 001079,LL6,18.6,Found,2000,-79.68333,159.75
Meteorite Hills 001080,L6,9.3,Found,2000,-79.68333,159.75
Meteorite Hills 001081,H5,8.3,Found,2000,-79.68333,159.75
Meteorite Hills 001082,LL5,17,Found,2000,-79.68333,159.75
Meteorite Hills 001083,LL5,9.7,Found,2000,-79.68333,159.75
Meteorite Hills 001084,LL5,8.3,Found,2000,-79.68333,159.75
Meteorite Hills 001085,H5,29.5,Found,2000,-79.68333,159.75
Meteorite Hills 001086,LL5,9.8,Found,2000,-79.68333,159.75
Meteorite Hills 001087,CM2,1.6,Found,2000,-79.68333,155.75
Meteorite Hills 001088,H6,34.2,Found,2000,-79.68333,159.75
Meteorite Hills 001089,H6,21,Found,2000,-79.68333,159.75
Meteorite Hills 001090,H6,33.6,Found,2000,-79.68333,159.75
Meteorite Hills 001091,H6,25.7,Found,2000,-79.68333,159.75
Meteorite Hills 001092,H5,0.6,Found,2000,-79.68333,159.75
Meteorite Hills 001093,L5,12.4,Found,2000,-79.68333,159.75
Meteorite Hills 001094,H5,14.5,Found,2000,-79.68333,159.75
Meteorite Hills 001095,H5,8.9,Found,2000,-79.68333,159.75
Meteorite Hills 001096,LL5,17.9,Found,2000,-79.68333,159.75
Meteorite Hills 001097,L6,36.2,Found,2000,-79.68333,159.75
Meteorite Hills 001098,L6,9.3,Found,2000,-79.68333,159.75
Meteorite Hills 001099,H6,16.3,Found,2000,-79.68333,159.75
Meteorite Hills 001100,L6,15.1,Found,2000,-79.68333,159.75
Meteorite Hills 001101,H6,36.8,Found,2000,-79.68333,159.75
Meteorite Hills 001102,H5,7.1,Found,2000,-79.68333,159.75
Meteorite Hills 001103,H6,22.9,Found,2000,-79.68333,159.75
Meteorite Hills 001104,H5,19.8,Found,2000,-79.68333,159.75
Meteorite Hills 001105,LL5,10.6,Found,2000,-79.68333,159.75
Meteorite Hills 001106,LL4,45.7,Found,2000,-79.68333,159.75
Meteorite Hills 001107,H6,16.3,Found,2000,-79.68333,159.75
Meteorite Hills 001108,LL6,20.2,Found,2000,-79.68333,159.75
Meteorite Hills 001109,L6,12,Found,2000,-79.68333,159.75
Meteorite Hills 001110,H6,19,Found,2000,-79.68333,159.75
Meteorite Hills 001111,H5,36.2,Found,2000,-79.68333,159.75
Meteorite Hills 001112,H6,11.4,Found,2000,-79.68333,159.75
Meteorite Hills 001113,LL6,12.5,Found,2000,-79.68333,159.75
Meteorite Hills 001114,H5,56.6,Found,2000,-79.68333,159.75
Meteorite Hills 001115,LL6,38.6,Found,2000,-79.68333,159.75
Meteorite Hills 001116,LL6,23.1,Found,2000,-79.68333,159.75
Meteorite Hills 001117,H5,18.7,Found,2000,-79.68333,159.75
Meteorite Hills 001118,H5,11.5,Found,2000,-79.68333,159.75
Meteorite Hills 001119,LL4,18.5,Found,2000,-79.68333,159.75
Meteorite Hills 001120,H6,28.4,Found,2000,-79.68333,159.75
Meteorite Hills 001121,H5,24.4,Found,2000,-79.68333,159.75
Meteorite Hills 001122,H5,14.8,Found,2000,-79.68333,159.75
Meteorite Hills 001123,H6,32.6,Found,2000,-79.68333,159.75
Meteorite Hills 001124,H6,5.6,Found,2000,-79.68333,159.75
Meteorite Hills 001125,H6,24.6,Found,2000,-79.68333,159.75
Meteorite Hills 001126,H5,21.9,Found,2000,-79.68333,159.75
Meteorite Hills 001127,H6,17,Found,2000,-79.68333,159.75
Meteorite Hills 001128,L6,5.3,Found,2000,-79.68333,159.75
Meteorite Hills 001129,LL5,11.4,Found,2000,-79.68333,159.75
Meteorite Hills 001130,H6,54.5,Found,2000,-79.68333,159.75
Meteorite Hills 001131,H6,18.5,Found,2000,-79.68333,159.75
Meteorite Hills 001132,H6,10.5,Found,2000,-79.68333,159.75
Meteorite Hills 001133,L5,4.5,Found,2000,-79.68333,159.75
Meteorite Hills 001134,LL4,7.3,Found,2000,-79.68333,159.75
Meteorite Hills 001135,H6,3.8,Found,2000,-79.68333,159.75
Meteorite Hills 001136,"Iron, IIIAB",3.21,Found,2000,-79.68333,155.75
Meteorite Hills 001137,LL5,1.5,Found,2000,-79.68333,159.75
Meteorite Hills 001138,L5,0.4,Found,2000,-79.68333,159.75
Meteorite Hills 001139,Fusion crust,0.013,Found,2000,-79.68333,159.75
Meteorite Hills 00400,"Iron, IIIAB",4583.8,Found,2000,-79.68333,155.75
Meteorite Hills 00401,"Iron, IIIAB",205.1,Found,2000,-79.68333,155.75
Meteorite Hills 00402,"Iron, IIIAB",82.6,Found,2000,-79.68333,155.75
Meteorite Hills 00403,"Iron, IIIAB",58.5,Found,2000,-79.68333,155.75
Meteorite Hills 00404,"Iron, IIIAB",20.7,Found,2000,-79.68333,155.75
Meteorite Hills 00405,"Iron, IIIAB",17,Found,2000,-79.68333,155.75
Meteorite Hills 00406,"Iron, IIIAB",16.1,Found,2000,-79.68333,155.75
Meteorite Hills 00407,"Iron, IIIAB",5.4,Found,2000,-79.68333,155.75
Meteorite Hills 00408,"Iron, IIIAB",18.1,Found,2000,-79.68333,155.75
Meteorite Hills 00409,"Iron, IIIAB",14,Found,2000,-79.68333,155.75
Meteorite Hills 00410,"Iron, IIIAB",3,Found,2000,-79.68333,155.75
Meteorite Hills 00411,"Iron, IIIAB",3.2,Found,2000,-79.68333,155.75
Meteorite Hills 00412,"Iron, IIIAB",8.7,Found,2000,-79.68333,155.75
Meteorite Hills 00413,"Iron, IIIAB",3.8,Found,2000,-79.68333,155.75
Meteorite Hills 00414,"Iron, IIIAB",4.8,Found,2000,-79.68333,155.75
Meteorite Hills 00415,"Iron, IIIAB",5.2,Found,2000,-79.68333,155.75
Meteorite Hills 00416,"Iron, IIIAB",4.4,Found,2000,-79.68333,155.75
Meteorite Hills 00417,"Iron, IIIAB",7.8,Found,2000,-79.68333,155.75
Meteorite Hills 00418,"Iron, IIIAB",4.8,Found,2000,-79.68333,155.75
Meteorite Hills 00419,"Iron, IIIAB",9,Found,2000,-79.68333,155.75
Meteorite Hills 00420,"Iron, IIIAB",6.3,Found,2000,-79.68333,155.75
Meteorite Hills 00421,"Iron, IIIAB",6.7,Found,2000,-79.68333,155.75
Meteorite Hills 00422,Diogenite,201.5,Found,2000,-79.68333,155.75
Meteorite Hills 00423,Howardite,79.4,Found,2000,-79.68333,155.75
Meteorite Hills 00424,Diogenite,98.9,Found,2000,-79.68333,155.75
Meteorite Hills 00425,Diogenite,118.3,Found,2000,-79.68333,155.75
Meteorite Hills 00426,CR2,31.3,Found,2000,-79.68333,155.75
Meteorite Hills 00427,Howardite,18.6,Found,2000,-79.68333,155.75
Meteorite Hills 00428,"Iron, ungrouped",45.8,Found,2000,-79.68333,155.75
Meteorite Hills 00429,CV3,30.5,Found,2000,-79.68333,159.75
Meteorite Hills 00430,CV3,151.7,Found,2000,-79.68333,159.75
Meteorite Hills 00431,CM2,23.4,Found,2000,-79.68333,155.75
Meteorite Hills 00432,CM2,38.9,Found,2000,-79.68333,155.75
Meteorite Hills 00433,CM2,10.9,Found,2000,-79.68333,155.75
Meteorite Hills 00434,CM2,6.1,Found,2000,-79.68333,155.75
Meteorite Hills 00435,CM2,2.4,Found,2000,-79.68333,155.75
Meteorite Hills 00436,Diogenite,1765.6,Found,2000,-79.68333,155.75
Meteorite Hills 00437,L6,2685.3,Found,2000,-79.68333,155.75
Meteorite Hills 00438,L6,3747.4,Found,2000,-79.68333,155.75
Meteorite Hills 00439,LL5,2601.9,Found,2000,-79.68333,155.75
Meteorite Hills 00440,L5,1624.7,Found,2000,-79.68333,155.75
Meteorite Hills 00441,L5,1299.6,Found,2000,-79.68333,155.75
Meteorite Hills 00442,L4,1149.2,Found,2000,-79.68333,155.75
Meteorite Hills 00443,L5,872,Found,2000,-79.68333,155.75
Meteorite Hills 00444,H6,1469.6,Found,2000,-79.68333,155.75
Meteorite Hills 00445,L5,1631.5,Found,2000,-79.68333,155.75
Meteorite Hills 00446,L5,1181.3,Found,2000,-79.68333,155.75
Meteorite Hills 00447,L5,1231.6,Found,2000,-79.68333,155.75
Meteorite Hills 00448,L5,1148.7,Found,2000,-79.68333,155.75
Meteorite Hills 00449,LL6,1192.3,Found,2000,-79.68333,155.75
Meteorite Hills 00450,LL6,691.1,Found,2000,-79.68333,155.75
Meteorite Hills 00451,LL6,767.2,Found,2000,-79.68333,155.75
Meteorite Hills 00452,L(LL)3.05,774.9,Found,2000,-79.68333,159.75
Meteorite Hills 00453,LL6,265.6,Found,2000,-79.68333,155.75
Meteorite Hills 00454,LL6,487,Found,2000,-79.68333,155.75
Meteorite Hills 00455,L5,489,Found,2000,-79.68333,159.75
Meteorite Hills 00456,LL5,575.5,Found,2000,-79.68333,155.75
Meteorite Hills 00457,LL6,709.4,Found,2000,-79.68333,155.75
Meteorite Hills 00458,LL6,687.5,Found,2000,-79.68333,155.75
Meteorite Hills 00459,LL6,1118.7,Found,2000,-79.68333,155.75
Meteorite Hills 00460,H5,700.5,Found,2000,-79.68333,159.75
Meteorite Hills 00461,L6,518,Found,2000,-79.68333,159.75
Meteorite Hills 00462,L5,590.7,Found,2000,-79.68333,155.75
Meteorite Hills 00463,L6,369.9,Found,2000,-79.68333,155.75
Meteorite Hills 00464,LL6,418.9,Found,2000,-79.68333,155.75
Meteorite Hills 00465,L5,516.4,Found,2000,-79.68333,155.75
Meteorite Hills 00466,LL5,296.8,Found,2000,-79.68333,155.75
Meteorite Hills 00467,L5,422.5,Found,2000,-79.68333,155.75
Meteorite Hills 00468,L5,361.7,Found,2000,-79.68333,155.75
Meteorite Hills 00469,L5,273,Found,2000,-79.68333,155.75
Meteorite Hills 00470,LL6,456.2,Found,2000,-79.68333,155.75
Meteorite Hills 00471,L5,367.1,Found,2000,-79.68333,155.75
Meteorite Hills 00472,L6,348.3,Found,2000,-79.68333,155.75
Meteorite Hills 00473,LL6,270,Found,2000,-79.68333,155.75
Meteorite Hills 00474,LL5,153.26,Found,2000,-79.68333,155.75
Meteorite Hills 00475,LL6,367.8,Found,2000,-79.68333,155.75
Meteorite Hills 00476,L5,433.3,Found,2000,-79.68333,155.75
Meteorite Hills 00477,LL6,474.2,Found,2000,-79.68333,155.75
Meteorite Hills 00478,L5,343,Found,2000,-79.68333,155.75
Meteorite Hills 00479,LL6,315,Found,2000,-79.68333,155.75
Meteorite Hills 00480,L5,190.49,Found,2000,-79.68333,155.75
Meteorite Hills 00481,L5,208.37,Found,2000,-79.68333,155.75
Meteorite Hills 00482,LL6,175.28,Found,2000,-79.68333,155.75
Meteorite Hills 00483,LL5,251.9,Found,2000,-79.68333,155.75
Meteorite Hills 00484,L5,233.7,Found,2000,-79.68333,155.75
Meteorite Hills 00485,LL6,221.9,Found,2000,-79.68333,155.75
Meteorite Hills 00486,L5,157.55,Found,2000,-79.68333,155.75
Meteorite Hills 00487,L5,159.2,Found,2000,-79.68333,155.75
Meteorite Hills 00488,L5,132.45,Found,2000,-79.68333,155.75
Meteorite Hills 00489,L3.6,232,Found,2000,-79.68333,155.75
Meteorite Hills 00490,LL5,100.92,Found,2000,-79.68333,155.75
Meteorite Hills 00491,LL6,106.57,Found,2000,-79.68333,155.75
Meteorite Hills 00492,L5,159.97,Found,2000,-79.68333,155.75
Meteorite Hills 00493,L5,38.99,Found,2000,-79.68333,155.75
Meteorite Hills 00494,L5,156.83,Found,2000,-79.68333,155.75
Meteorite Hills 00495,LL6,266.5,Found,2000,-79.68333,155.75
Meteorite Hills 00496,L5,128.79,Found,2000,-79.68333,155.75
Meteorite Hills 00497,LL6,221.6,Found,2000,-79.68333,155.75
Meteorite Hills 00498,L6,112.46,Found,2000,-79.68333,155.75
Meteorite Hills 00499,L6,111.69,Found,2000,-79.68333,155.75
Meteorite Hills 00500,L6,230.7,Found,2000,-79.68333,155.75
Meteorite Hills 00501,LL6,101.46,Found,2000,-79.68333,155.75
Meteorite Hills 00502,LL5,130.78,Found,2000,-79.68333,155.75
Meteorite Hills 00503,LL6,152.12,Found,2000,-79.68333,155.75
Meteorite Hills 00504,L5,165.9,Found,2000,-79.68333,155.75
Meteorite Hills 00505,LL5,174.57,Found,2000,-79.68333,155.75
Meteorite Hills 00506,H3.4,301.1,Found,2000,-79.68333,155.75
Meteorite Hills 00507,L5,105.13,Found,2000,-79.68333,155.75
Meteorite Hills 00508,LL6,68.59,Found,2000,-79.68333,155.75
Meteorite Hills 00509,LL6,180.89,Found,2000,-79.68333,155.75
Meteorite Hills 00510,LL5,186.55,Found,2000,-79.68333,155.75
Meteorite Hills 00511,L5,131.7,Found,2000,-79.68333,155.75
Meteorite Hills 00512,LL5,93.4,Found,2000,-79.68333,155.75
Meteorite Hills 00513,L5,148.29,Found,2000,-79.68333,155.75
Meteorite Hills 00514,L5,275.1,Found,2000,-79.68333,155.75
Meteorite Hills 00515,LL6,304.8,Found,2000,-79.68333,155.75
Meteorite Hills 00516,L5,117.6,Found,2000,-79.68333,155.75
Meteorite Hills 00517,LL4,247,Found,2000,-79.68333,155.75
Meteorite Hills 00518,LL6,247.8,Found,2000,-79.68333,155.75
Meteorite Hills 00519,LL6,210.8,Found,2000,-79.68333,155.75
Meteorite Hills 00520,L5,263.4,Found,2000,-79.68333,155.75
Meteorite Hills 00521,LL5,134.05,Found,2000,-79.68333,155.75
Meteorite Hills 00522,L5,115.74,Found,2000,-79.68333,155.75
Meteorite Hills 00523,LL6,60.78,Found,2000,-79.68333,155.75
Meteorite Hills 00524,L6,226,Found,2000,-79.68333,155.75
Meteorite Hills 00525,H5,135.1,Found,2000,-79.68333,159.75
Meteorite Hills 00526,L(LL)3.05,208.2,Found,2000,-79.68333,159.75
Meteorite Hills 00527,L5,225,Found,2000,-79.68333,155.75
Meteorite Hills 00528,H5,104.9,Found,2000,-79.68333,159.75
Meteorite Hills 00529,H6,152.6,Found,2000,-79.68333,159.75
Meteorite Hills 00530,LL5,106.17,Found,2000,-79.68333,155.75
Meteorite Hills 00531,LL6,193.91,Found,2000,-79.68333,155.75
Meteorite Hills 00532,L5,132.6,Found,2000,-79.68333,155.75
Meteorite Hills 00533,LL5,127.56,Found,2000,-79.68333,155.75
Meteorite Hills 00534,L6,97.57,Found,2000,-79.68333,155.75
Meteorite Hills 00535,L4,159.08,Found,2000,-79.68333,155.75
Meteorite Hills 00536,L6,137.19,Found,2000,-79.68333,155.75
Meteorite Hills 00537,L6,148.75,Found,2000,-79.68333,155.75
Meteorite Hills 00538,L5,77.16,Found,2000,-79.68333,155.75
Meteorite Hills 00539,LL5,193.65,Found,2000,-79.68333,155.75
Meteorite Hills 00540,LL6,103.18,Found,2000,-79.68333,155.75
Meteorite Hills 00541,LL5,125.82,Found,2000,-79.68333,155.75
Meteorite Hills 00542,L6,80.3,Found,2000,-79.68333,155.75
Meteorite Hills 00543,L6,25.45,Found,2000,-79.68333,155.75
Meteorite Hills 00544,L5,52.65,Found,2000,-79.68333,155.75
Meteorite Hills 00545,L5,59.76,Found,2000,-79.68333,155.75
Meteorite Hills 00546,H5,75.87,Found,2000,-79.68333,159.75
Meteorite Hills 00547,LL6,68.5,Found,2000,-79.68333,159.75
Meteorite Hills 00548,L5,89.7,Found,2000,-79.68333,159.75
Meteorite Hills 00549,L5,101.48,Found,2000,-79.68333,155.75
Meteorite Hills 00550,LL6,104.52,Found,2000,-79.68333,155.75
Meteorite Hills 00551,LL6,58.63,Found,2000,-79.68333,155.75
Meteorite Hills 00552,H3.4,97.3,Found,2000,-79.68333,155.75
Meteorite Hills 00553,L5,74.34,Found,2000,-79.68333,155.75
Meteorite Hills 00554,L6,67.08,Found,2000,-79.68333,155.75
Meteorite Hills 00555,L5,91.05,Found,2000,-79.68333,155.75
Meteorite Hills 00556,L5,66.46,Found,2000,-79.68333,155.75
Meteorite Hills 00557,LL6,49.45,Found,2000,-79.68333,155.75
Meteorite Hills 00558,L5,157.04,Found,2000,-79.68333,155.75
Meteorite Hills 00559,L6,95.02,Found,2000,-79.68333,155.75
Meteorite Hills 00560,LL5,61.81,Found,2000,-79.68333,155.75
Meteorite Hills 00561,L5,80.19,Found,2000,-79.68333,155.75
Meteorite Hills 00562,L5,78.49,Found,2000,-79.68333,155.75
Meteorite Hills 00563,L5,48.16,Found,2000,-79.68333,155.75
Meteorite Hills 00564,L5,53.58,Found,2000,-79.68333,155.75
Meteorite Hills 00565,L5,109.96,Found,2000,-79.68333,155.75
Meteorite Hills 00566,L5,143.77,Found,2000,-79.68333,155.75
Meteorite Hills 00567,L5,40.41,Found,2000,-79.68333,155.75
Meteorite Hills 00568,L6,63.34,Found,2000,-79.68333,155.75
Meteorite Hills 00569,L6,110.34,Found,2000,-79.68333,155.75
Meteorite Hills 00570,H3.8,157.02,Found,2000,-79.68333,155.75
Meteorite Hills 00571,LL6,114.33,Found,2000,-79.68333,155.75
Meteorite Hills 00572,H4,95.8,Found,2000,-79.68333,155.75
Meteorite Hills 00573,LL6,70.96,Found,2000,-79.68333,155.75
Meteorite Hills 00574,LL5,106.46,Found,2000,-79.68333,155.75
Meteorite Hills 00575,L5,99.16,Found,2000,-79.68333,155.75
Meteorite Hills 00576,L6,9.49,Found,2000,-79.68333,155.75
Meteorite Hills 00577,LL6,15.64,Found,2000,-79.68333,155.75
Meteorite Hills 00578,L6,64.33,Found,2000,-79.68333,155.75
Meteorite Hills 00579,L6,55.86,Found,2000,-79.68333,155.75
Meteorite Hills 00581,LL6,100.21,Found,2000,-79.68333,155.75
Meteorite Hills 00582,L5,176.83,Found,2000,-79.68333,155.75
Meteorite Hills 00583,L5,51.8,Found,2000,-79.68333,155.75
Meteorite Hills 00584,LL5,87.53,Found,2000,-79.68333,155.75
Meteorite Hills 00585,L5,74.22,Found,2000,-79.68333,155.75
Meteorite Hills 00586,L5,93.13,Found,2000,-79.68333,155.75
Meteorite Hills 00587,LL5,44.83,Found,2000,-79.68333,155.75
Meteorite Hills 00588,LL5,50.85,Found,2000,-79.68333,155.75
Meteorite Hills 00589,H6,89.29,Found,2000,-79.68333,155.75
Meteorite Hills 00590,LL6,90.02,Found,2000,-79.68333,155.75
Meteorite Hills 00591,H6,114.82,Found,2000,-79.68333,155.75
Meteorite Hills 00592,L5,95.78,Found,2000,-79.68333,155.75
Meteorite Hills 00593,LL5,53.83,Found,2000,-79.68333,155.75
Meteorite Hills 00594,LL6,99.51,Found,2000,-79.68333,155.75
Meteorite Hills 00595,LL6,66.53,Found,2000,-79.68333,155.75
Meteorite Hills 00596,LL6,62.27,Found,2000,-79.68333,155.75
Meteorite Hills 00597,LL6,94.84,Found,2000,-79.68333,155.75
Meteorite Hills 00598,L6,96.49,Found,2000,-79.68333,155.75
Meteorite Hills 00599,LL6,72.18,Found,2000,-79.68333,155.75
Meteorite Hills 00600,LL6,78.48,Found,2000,-79.68333,155.75
Meteorite Hills 00601,LL6,58.56,Found,2000,-79.68333,155.75
Meteorite Hills 00602,L6,121.26,Found,2000,-79.68333,155.75
Meteorite Hills 00603,LL6,67.68,Found,2000,-79.68333,155.75
Meteorite Hills 00604,L6,74.05,Found,2000,-79.68333,155.75
Meteorite Hills 00605,L5,102.88,Found,2000,-79.68333,155.75
Meteorite Hills 00606,L5,70.61,Found,2000,-79.68333,155.75
Meteorite Hills 00607,H3.4,76.55,Found,2000,-79.68333,155.75
Meteorite Hills 00608,L5,85.78,Found,2000,-79.68333,155.75
Meteorite Hills 00609,LL6,65.81,Found,2000,-79.68333,155.75
Meteorite Hills 00610,H6,118.26,Found,2000,-79.68333,155.75
Meteorite Hills 00611,H6,113.77,Found,2000,-79.68333,155.75
Meteorite Hills 00612,L5,110.51,Found,2000,-79.68333,155.75
Meteorite Hills 00613,H6,53.37,Found,2000,-79.68333,155.75
